Feature Group,Feature/Area,Sub-feature
Deployment & DevOps - CI/CD Pipeline Scripts,Rsync to Server Script (01-rsync-to-server.sh),SSH connection setup
Deployment & DevOps - CI/CD Pipeline Scripts,Rsync to Server Script (01-rsync-to-server.sh),File synchronization
Deployment & DevOps - CI/CD Pipeline Scripts,Rsync to Server Script (01-rsync-to-server.sh),Sync logging
Deployment & DevOps - CI/CD Pipeline Scripts,Rsync to Server Script (01-rsync-to-server.sh),Sync status reporting
Deployment & DevOps - CI/CD Pipeline Scripts,Environment File Copy Script (copy-env.mts),Environment file copying (.env.example to .env)
Deployment & DevOps - CI/CD Pipeline Scripts,Environment File Copy Script (copy-env.mts),File existence validation
Deployment & DevOps - CI/CD Pipeline Scripts,Environment File Copy Script (copy-env.mts),File copy error handling
Deployment & DevOps - CI/CD Pipeline Scripts,Environment File Copy Script (copy-env.mts),File copy status reporting
Deployment & DevOps - CI/CD Pipeline Scripts,Database Fix Script (fix-database-issue.sh),Database permission fixing
Deployment & DevOps - CI/CD Pipeline Scripts,Database Fix Script (fix-database-issue.sh),Database directory creation
Deployment & DevOps - CI/CD Pipeline Scripts,Database Fix Script (fix-database-issue.sh),Database file creation
Deployment & DevOps - CI/CD Pipeline Scripts,Database Fix Script (fix-database-issue.sh),Database permission setting
Deployment & DevOps - CI/CD Pipeline Scripts,Database Fix Script (fix-database-issue.sh),Database ownership setting
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Directory Creation,Backup directory structure
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Directory Creation,Backup directory naming (timestamp-based)
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Directory Creation,Backup directory permissions
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Directory Creation,Backup directory ownership
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Automation,Automated backup creation
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Automation,Backup of previous data
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Automation,Backup of old services
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Automation,Backup of old files
Deployment & DevOps - Backup Scripts & Recovery Plan,Backup Automation,Backup validation
Deployment & DevOps - Backup Scripts & Recovery Plan,Recovery Procedures,Backup restoration process
Deployment & DevOps - Backup Scripts & Recovery Plan,Recovery Procedures,Data recovery procedures
Deployment & DevOps - Backup Scripts & Recovery Plan,Recovery Procedures,Service recovery procedures
Deployment & DevOps - Backup Scripts & Recovery Plan,Recovery Procedures,File recovery procedures
Deployment & DevOps - Backup Scripts & Recovery Plan,Recovery Procedures,Recovery validation
Deployment & DevOps - Monitoring/Logging Setup,Systemd Service Logs,Backend service logs (vakav-website-backend.service)
Deployment & DevOps - Monitoring/Logging Setup,Systemd Service Logs,Frontend service logs (vakav-website-frontend.service)
Deployment & DevOps - Monitoring/Logging Setup,Systemd Service Logs,Log output configuration (journal)
Deployment & DevOps - Monitoring/Logging Setup,Systemd Service Logs,Log error configuration (journal)
Deployment & DevOps - Monitoring/Logging Setup,Systemd Service Logs,Syslog identifier configuration
Deployment & DevOps - Monitoring/Logging Setup,Systemd Service Logs,Log rotation
Deployment & DevOps - Monitoring/Logging Setup,Nginx Logs,Nginx access logs
Deployment & DevOps - Monitoring/Logging Setup,Nginx Logs,Nginx error logs
Deployment & DevOps - Monitoring/Logging Setup,Nginx Logs,Log file configuration
Deployment & DevOps - Monitoring/Logging Setup,Nginx Logs,Log rotation
Deployment & DevOps - Monitoring/Logging Setup,Nginx Logs,Log analysis
Deployment & DevOps - Monitoring/Logging Setup,Service Status Monitoring,Service status checking (systemctl status)
Deployment & DevOps - Monitoring/Logging Setup,Service Status Monitoring,Service health monitoring
Deployment & DevOps - Monitoring/Logging Setup,Service Status Monitoring,Service restart on failure
Deployment & DevOps - Monitoring/Logging Setup,Service Status Monitoring,Service dependency monitoring
Deployment & DevOps - Monitoring/Logging Setup,Service Status Monitoring,Service performance monitoring
Deployment & DevOps - Monitoring/Logging Setup,Log Management,Log file location
Deployment & DevOps - Monitoring/Logging Setup,Log Management,Log file permissions
Deployment & DevOps - Monitoring/Logging Setup,Log Management,Log file rotation
Deployment & DevOps - Monitoring/Logging Setup,Log Management,Log file cleanup
Deployment & DevOps - Monitoring/Logging Setup,Log Management,Log file analysis
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Strapi CMS service configuration
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Service type (simple)
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Service user (administrator)
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Working directory configuration
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),ExecStart command
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Restart policy (on-failure)
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Restart delay (10 seconds)
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Environment variables (NODE_ENV, HOST, PORT)
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Security settings (NoNewPrivileges, PrivateTmp, ProtectSystem)
Deployment & DevOps - Systemd Services,Backend Service (vakav-website-backend.service),Logging configuration
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Next.js service configuration
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Service type (simple)
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Service user (administrator)
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Working directory configuration
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),ExecStart command
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Restart policy (on-failure)
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Restart delay (10 seconds)
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Environment variables (NODE_ENV, PORT, HOSTNAME)
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Environment file (.env.production)
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Security settings (NoNewPrivileges, PrivateTmp, ProtectSystem)
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Logging configuration
Deployment & DevOps - Systemd Services,Frontend Service (vakav-website-frontend.service),Service dependencies (vakav-website-backend.service)
Deployment & DevOps - Systemd Services,Service Management,Service starting (systemctl start)
Deployment & DevOps - Systemd Services,Service Management,Service stopping (systemctl stop)
Deployment & DevOps - Systemd Services,Service Management,Service restarting (systemctl restart)
Deployment & DevOps - Systemd Services,Service Management,Service enabling (systemctl enable)
Deployment & DevOps - Systemd Services,Service Management,Service disabling (systemctl disable)
Deployment & DevOps - Systemd Services,Service Management,Service status checking (systemctl status)
Deployment & DevOps - Systemd Services,Service Management,Service reloading (systemctl daemon-reload)
Deployment & DevOps - Security,SSL/TLS Configuration,SSL certificate setup
Deployment & DevOps - Security,SSL/TLS Configuration,TLS protocol configuration
Deployment & DevOps - Security,SSL/TLS Configuration,SSL cipher suite configuration
Deployment & DevOps - Security,SSL/TLS Configuration,SSL session configuration
Deployment & DevOps - Security,SSL/TLS Configuration,HSTS configuration
Deployment & DevOps - Security,Security Headers,HSTS header (Strict-Transport-Security)
Deployment & DevOps - Security,Security Headers,Security headers configuration
Deployment & DevOps - Security,Security Headers,Header validation
Deployment & DevOps - Security,Service Security Settings,NoNewPrivileges (systemd)
Deployment & DevOps - Security,Service Security Settings,PrivateTmp (systemd)
Deployment & DevOps - Security,Service Security Settings,ProtectSystem (systemd)
Deployment & DevOps - Security,Service Security Settings,ReadWritePaths (systemd)
Deployment & DevOps - Security,Service Security Settings,Service user isolation
Deployment & DevOps - Security,Environment Variable Security,Environment variable encryption
Deployment & DevOps - Security,Environment Variable Security,Environment variable validation
Deployment & DevOps - Security,Environment Variable Security,Environment variable access control
Deployment & DevOps - Security,Environment Variable Security,Environment variable backup
Deployment & DevOps - Performance Optimization,Static Asset Caching,Static asset caching configuration
Deployment & DevOps - Performance Optimization,Static Asset Caching,Cache expiration settings
Deployment & DevOps - Performance Optimization,Static Asset Caching,Cache-Control headers
Deployment & DevOps - Performance Optimization,Static Asset Caching,Immutable cache configuration
Deployment & DevOps - Performance Optimization,Proxy Buffer Settings,Proxy buffer size configuration
Deployment & DevOps - Performance Optimization,Proxy Buffer Settings,Proxy buffers configuration
Deployment & DevOps - Performance Optimization,Proxy Buffer Settings,Proxy busy buffers configuration
Deployment & DevOps - Performance Optimization,Proxy Buffer Settings,Proxy temp file write size configuration
Deployment & DevOps - Performance Optimization,Timeout Configurations,Proxy connect timeout (60s)
Deployment & DevOps - Performance Optimization,Timeout Configurations,Proxy send timeout (60s)
Deployment & DevOps - Performance Optimization,Timeout Configurations,Proxy read timeout (60s)
Deployment & DevOps - Performance Optimization,Timeout Configurations,Timeout optimization
Deployment & DevOps - Performance Optimization,CDN Support (if applicable),CDN configuration
Deployment & DevOps - Performance Optimization,CDN Support (if applicable),CDN asset delivery
Deployment & DevOps - Performance Optimization,CDN Support (if applicable),CDN caching
Deployment & DevOps - Performance Optimization,CDN Support (if applicable),CDN optimization

